"model_id","location","Energy Score","Brier Score Point","Brier Score Dist","Interval Coverage 50","Interval Coverage 90","n"
"LANL-CovTransformer","VT",NA,0.463550833053029,NA,NA,NA,1176
"LANL-CovTransformer","WA",NA,0.537635223215807,NA,NA,NA,713
"LANL-CovTransformer","WI",NA,0.586538461538462,NA,NA,NA,26
"LANL-CovTransformer","WV",NA,0.53125,NA,NA,NA,16
"LANL-CovTransformer","WY",NA,NA,NA,NA,NA,0
"UGA-multicast","AK",0.76291882047731,0.426093044011068,0.445536844696852,0.948161764705882,0.962867647058824,305
"UGA-multicast","AL",0.667737633494875,0.412918345999343,0.438927668896356,0.969334330590875,0.985041136873598,145
"UGA-multicast","AR",0.464134209410057,0.328034447072968,0.344754801982121,0.988958410011042,0.994111152005889,77
"UGA-multicast","AZ",0.865554051456276,0.277329806516018,0.283871810260913,0.638984509466437,0.832185886402754,1717
"UGA-multicast","CA",5.3798412978713,0.331411620053901,0.334301161038563,0.205932932072227,0.475924333619948,2323
"UGA-multicast","CO",2.02127784178364,0.286286366294674,0.292521690245178,0.390433360588716,0.728945216680294,2055
"UGA-multicast","CT",0.768410521587716,0.26931377077313,0.279640804018094,0.661698956780924,0.837928464977645,2152
"UGA-multicast","DC",0.614803983219104,0.32177742458527,0.336023381129091,0.915266890630832,0.949981336319522,551
"UGA-multicast","DE",1.15202983772321,0.34384561881313,0.345716236690891,0.825345247766044,0.886677497969131,668
"UGA-multicast","FL",0.742296110276696,0.314810077739729,0.321440001178443,0.837274549098196,0.907815631262525,772
"UGA-multicast","GA",0.754879878272341,0.408762071910766,0.419873073540781,0.929910044977511,0.980884557721139,398
"UGA-multicast","HI",NA,NA,NA,1,1,0
"UGA-multicast","IA",0.790714675150091,0.267982038003995,0.270144688558932,0.872068230277185,0.919402985074627,705
"UGA-multicast","ID",0.0384051306200272,0.0277170533471963,0.0280478969664899,1,1,6
"UGA-multicast","IL",1.05593218815395,0.245563700004403,0.248060763608022,0.485688323489323,0.768741481144934,2018
"UGA-multicast","IN",0.559409011394563,0.347265660558454,0.366418395469252,0.98036253776435,0.990558912386707,125
"UGA-multicast","KS",0.606074320484239,0.429294505062175,0.431968997978045,0.993030080704329,0.995597945707997,41
"UGA-multicast","KY",0.514891644498307,0.347248061747906,0.35819919304824,0.99852452969384,0.99852452969384,19
"UGA-multicast","LA",1.09501095078517,0.362276192581712,0.365929598867532,0.828282828282828,0.882672882672883,753
"UGA-multicast","MA",0.855823352477195,0.299842301707865,0.303462212014963,0.812895569620253,0.865901898734177,887
